Two decades later, most of the provisions of this Charter remain a dead letter in some of Member States.	Vingt ans plus tard, de nombreux États membres n'ont toujours pas mis en œuvre une grande partie de ses dispositions.
On subheading 1b	En ce qui concerne la sous-rubrique 1b
Stresses the significance of two particular technological challenges in the field of energy for ND states: the exploitation of oil reserves in the far North, given the projected normal price of oil of around $ 50 per barrel, and carbon dioxide capture and storage, including the use of CO 2 for oil recovery;	2. souligne l'importance de deux défis technologiques particuliers dans le domaine de l'énergie pour les États membres de la dimension septentrionale: l'exploitation des réserves pétrolières du grand Nord, en raison du prix normal prévu du pétrole (environ 50 $ le baril), et la capture et l'entreposage de dioxyde de carbone, en ce compris l'utilisation du CO 2 pour la récupération du pétrole;
whereas the EU commitments to give more and better aid should include increasing its ODA to 0,56% of Gross National Income (GNI) by 2010, developing new and more predictable and less volatile aid mechanisms along with promotion of better coordination and complementarity by working towards joint multi-annual programming based on partner countries' plans and systems, further untying aid and reform of technical assistance to respond to national priorities; whereas between 2006 and 2007 the percentage of EU GNI devoted to ODA fell for the first time since 2000, from 0,41% to 0,38%, and whereas the EU must therefore redouble its efforts to attain the objective set in the MDGs of devoting 0,7% of the EU's GNI to ODA in 2015,	considérant que les engagements pris par l'Union d'apporter une aide plus importante et meilleure devraient inclure l'augmentation de son aide pour la faire passer à 0,56 % d'APD par rapport au revenu national brut (RNB) d'ici à 2010, le développement de nouveaux mécanismes d'aide, plus prévisibles et moins volatiles, ainsi que la promotion d'une meilleure coordination et d'une meilleure complémentarité en œuvrant à une programmation pluriannuelle conjointe, fondée sur les plans et systèmes des pays partenaires, la poursuite du déliement de l'aide et la réforme de l'assistance technique afin de répondre aux priorités nationales; considérant que, entre 2006 et 2007, le pourcentage de RNB de l'Union consacré à l'APD a régressé pour la première fois depuis 2000, passant de 0,41 % à 0,38 %, et que l'Union doit donc redoubler d'efforts pour atteindre l'objectif fixé, au titre des OMD, de consacrer 0,7 % du RNB de l'Union à l'APD en 2015,
When can the European Parliament expect a detailed report on the Commission’s findings?	À quelle date le Parlement européen peut-il attendre un rapport détaillé sur les résultats auxquels la Commission est parvenue?
Is it aware of the contracts for this project and has it vetted them?	Est-elle au courant des contrats concernant ce projet et les a-t-elle vérifiés?
- Proposal for a regulation of the European Parliament and of the Council amending Regulation (EC) No 562/2006 in order to provide for common rules on the temporary reintroduction of border control at internal borders in exceptional circumstances ( COM(2011)0560 - C7-0248/2011 - 2011/0242(COD) )	- Proposition de règlement du Parlement européen et du Conseil modifiant le règlement (CE) n° 562/2006 afin d'établir des règles communes relatives à la réintroduction temporaire du contrôle aux frontières intérieures dans des circonstances exceptionnelles ( COM(2011)0560 - C7-0248/2011 - 2011/0242(COD) )
In incorporating Article 5 of the Directive (under which certain exemptions from the public-lending right are granted and restrictions on it are imposed), the Decree satisfies the requirement for the Directive to be transposed and at the same time it safeguards the public right to education, since book loans are exempt from payment of any fee.	En ce qui concerne l'article 5 de la directive qui prévoit certaines dérogations et restrictions au droit exclusif de prêt public, le décret, tout en respectant l'obligation de transposer la directive, sauvegarde en même temps le droit collectif à l'éducation publique en exonérant les bibliothèques du versement des droits au titre des prêts.
Duty of confidentiality	Secret professionnel
Pursuant to Article 8a(4) of Regulation (EC) No 1108/2009, adopted as part of the second Single European Sky package, ‘aerodrome operators shall monitor activities and developments which may cause unacceptable safety risks to aviation in the aerodrome surroundings and take, within their competence, mitigating measures as appropriate’.	Aux termes de l'article 8 bis , paragraphe 4, du règlement (CE) n o 1108/2009, adopté dans le cadre du deuxième paquet sur le Ciel unique européen, «les exploitants d'aérodrome surveillent les activités et les modifications de leur environnement qui peuvent entraîner des risques inacceptables pour la sécurité de l'aviation dans les environs de l'aérodrome et prennent des mesures, dans les limites de leurs compétences, pour limiter les risques si nécessaire.».
